0	1
0	2
1	2
0	3
2	3
4	5
5	6
6	7
1	9
2	9
3	9
8	9
3	10
2	11
10	11
9	12
10	12
1	14
2	14
13	14
7	15
13	15
13	16
14	16
1	17
2	17
5	17
7	17
9	17
12	17
13	17
14	17
15	17
1	18
3	18
12	18
13	18
1	19
19	20
2	21
7	21
17	21
18	21
19	21
2	22
17	22
19	22
2	23
19	23
2	24
9	24
17	24
19	24
2	25
9	25
14	25
17	25
19	25
2	26
9	26
17	26
19	26
2	27
5	27
17	27
19	27
1	28
17	28
21	28
18	29
28	29
25	30
28	30
2	31
17	31
28	31
5	32
6	32
15	32
17	32
28	32
31	32
28	33
2	34
17	34
18	34
28	34
17	35
28	35
2	36
14	36
17	36
24	36
7	37
14	37
17	37
7	38
15	38
17	38
37	38
5	39
9	39
38	39
9	40
11	40
38	40
1	41
2	41
3	41
25	41
31	41
38	41
2	42
9	42
41	42
3	43
5	43
12	43
15	43
17	43
18	43
20	43
21	43
23	43
24	43
26	43
27	43
31	43
36	43
39	43
41	43
17	44
18	44
28	44
43	44
1	45
2	45
22	45
44	45
1	46
25	46
23	47
24	47
37	47
15	48
21	48
25	48
35	48
43	48
47	48
24	49
47	49
2	50
10	50
12	50
17	50
18	50
21	50
44	50
48	50
1	51
2	51
3	51
6	51
7	51
17	51
18	51
21	51
23	51
25	51
26	51
30	51
31	51
32	51
34	51
35	51
38	51
42	51
49	51
50	51
6	52
17	52
27	52
32	52
45	52
50	52
18	53
50	53
2	54
17	54
18	54
27	54
34	54
50	54
51	54
53	54
6	55
36	55
26	56
40	56
42	56
52	56
37	57
51	57
29	58
37	58
9	59
14	59
23	59
25	59
37	59
43	59
49	59
51	59
9	60
18	60
9	61
9	62
11	63
27	63
43	63
63	64
17	65
59	65
63	65
2	66
17	66
43	66
51	66
17	67
51	67
14	68
16	68
24	68
26	68
27	68
49	68
51	68
54	68
11	69
23	69
7	70
17	70
32	70
43	70
54	70
55	70
59	70
68	70
14	71
35	71
59	71
60	71
62	71
17	72
37	72
54	72
59	72
66	72
2	73
45	73
53	73
68	73
71	73
29	74
7	75
15	75
24	75
54	75
57	75
66	75
68	75
70	75
15	76
24	76
27	76
33	76
48	76
60	76
67	76
73	76
75	76
17	77
25	77
75	77
50	78
54	78
15	79
20	79
26	79
27	79
29	79
30	79
31	79
42	79
78	79
17	80
26	80
27	80
43	80
72	80
76	80
43	81
79	81
80	81
17	82
2	83
17	83
43	83
79	83
17	84
30	84
33	84
65	84
68	84
3	85
17	85
17	86
31	86
7	87
12	87
17	87
24	87
27	87
36	87
65	87
67	87
70	87
83	87
12	88
15	88
17	88
25	88
48	88
4	89
9	89
17	89
28	89
53	89
42	90
1	91
28	92
30	92
76	92
89	92
2	93
17	93
20	94
22	94
81	94
92	95
27	96
92	96
2	97
2	98
11	98
17	98
43	98
81	98
43	99
89	99
32	100
43	100
51	101
60	101
1	102
2	102
12	102
13	102
17	102
44	102
50	102
53	102
66	102
70	102
17	103
24	103
27	103
31	103
37	103
39	103
65	103
73	103
2	104
11	104
12	104
15	104
17	104
24	104
25	104
26	104
31	104
33	104
35	104
38	104
46	104
48	104
50	104
59	104
61	104
81	104
84	104
103	104
2	105
14	105
23	105
70	105
72	105
104	105
7	106
51	106
76	106
80	106
88	106
96	106
33	107
34	107
20	108
24	108
31	108
105	108
79	109
79	110
100	110
2	111
